time (sec),x (pixels),y (pixels)
33.86700,230.370,21.195
33.94400,245.910,19.309
34.01900,306.902,13.307
34.08900,395.283,9.975
34.22000,541.540,18.979
34.28800,554.620,19.973
34.35200,525.300,16.508
34.42200,453.131,11.051
34.48700,361.567,10.557
34.55200,281.650,15.673
34.61700,237.260,20.551
34.69400,235.160,20.635
34.75900,273.530,16.230
34.82500,350.380,10.794
34.90200,441.034,10.968
34.96600,515.600,15.975
35.03000,551.400,19.613
35.09600,544.390,18.620
35.17400,491.470,13.428
35.24000,407.003,9.884
35.30800,319.345,12.605
35.38200,255.260,18.446
35.44700,234.920,20.652
35.51100,250.350,18.591
35.57700,310.242,12.974
35.65400,396.466,9.918
35.71800,481.270,12.992
35.78500,538.320,18.471
