time	price	quantity	board	source	buyer	seller	initiator
20141013T153413	451.99	100		Auto trade			
20141013T153414	451.83	200		Auto trade			
20141013T153418	451.81	100		Auto trade			
20141013T153419	451.535	100		Auto trade			
20141013T153419	451.53	100		Auto trade			
20141013T153419	451.56	100		Auto trade			
20141013T153419	451.525	100		Auto trade			
20141013T153419	451.54	100		Auto trade			
20141013T153419	451.48	100		Auto trade			
20141013T153419	451.45	100		Auto trade			
20141013T153419	451.525	100		Auto trade			
20141013T153419	451.56	100		Auto trade			
20141013T153423	451.525	100		Auto trade			
20141013T153424	451.54	100		Auto trade			
20141013T153425	451.54	300		Auto trade			
20141013T153425	451.297	250		Auto trade			
20141013T153426	451.31	100		Auto trade			
20141013T153428	451.32	100		Auto trade			
20141013T153428	451.79	100		Auto trade			
20141013T153428	451.7	100		Auto trade			
20141013T153435	451.32	200		Auto trade			
20141013T153441	451.33	100		Auto trade			
20141013T153441	451.8	100		Auto trade			
20141013T153443	451.6	100		Auto trade			
20141013T153447	451.33	100		Auto trade			
20141013T153449	451.8	100		Auto trade			
20141013T153451	451.4208	155		Auto trade			
20141013T153457	451.37	400		Auto trade			
20141013T153457	451.43	100		Auto trade			
20141013T153459	451.75	100		Auto trade			
20141013T153459	451.79	100		Auto trade			
20141013T153507	451.804	300		Auto trade			
20141013T153507	451.57	100		Auto trade			
20141013T153507	451.584	100		Auto trade			
20141013T153508	451.5705	100		Auto trade			
20141013T153508	451.81	100		Auto trade			
20141013T153508	451.804	100		Auto trade			
20141013T153510	451.81	200		Auto trade			
20141013T153510	451.9	100		Auto trade			
20141013T153510	451.86	250		Auto trade			
20141013T153510	452.	200		Auto trade			
20141013T153510	452.05	100		Auto trade			
20141013T153510	452.21	100		Auto trade			
20141013T153512	451.91	150		Auto trade			
20141013T153517	452.07	100		Auto trade			
20141013T153517	452.1	100		Auto trade			
20141013T153517	451.91	100		Auto trade			
20141013T153520	451.58	100		Auto trade			
20141013T153520	452.07	100		Auto trade			
20141013T153520	451.58	200		Auto trade			
20141013T153524	451.74	100		Auto trade			
20141013T153524	451.73	100		Auto trade			
20141013T153524	451.7	100		Auto trade			
20141013T153524	451.76	100		Auto trade			
20141013T153524	451.74	100		Auto trade			
20141013T153524	451.76	100		Auto trade			
20141013T153524	451.59	100		Auto trade			
20141013T153524	451.749	100		Auto trade			
20141013T153525	451.645	137		Auto trade			
20141013T153525	451.59	200		Auto trade			
20141013T153528	451.87	100		Auto trade			
20141013T153529	451.974	200		Auto trade			
20141013T153531	451.6001	100		Auto trade			
20141013T153540	451.99	100		Auto trade			
20141013T153540	451.97	100		Auto trade			
20141013T153540	452.16	100		Auto trade			
20141013T153540	452.	100		Auto trade			
20141013T153541	452.	200		Auto trade			
20141013T153541	452.19	100		Auto trade			
20141013T153541	452.	100		Auto trade			
